Category,Average Variance
FGN,0.22116269100054503
FTN,0.25193941044829304
PTS,0.4602937080202561
FG3M,0.915919031211453
REB,0.5012367204861771
BLK,1.5214309473551222
STL,1.0697708256652374
AST,0.6379639284760571
TOV,0.8067571535793651
