Name,Player_ID,FG%_RT,FT%_RT,FG3M_RT,PTS_RT,REB_RT,AST_RT,TOV_RT,Total_Rating
Nikola Jokić,203999,0.8666246304131205,0.5798989331836047,0.4364975450081833,0.9068908220115337,0.9131231991617917,0.8803945745992602,-0.6867802855826808,100.0
Shai Gilgeous-Alexander,1628983,0.6215580094853824,1.0,0.47473404255319146,1.0,0.35754824063564133,0.5514454034799288,-0.5152195608782435,89.565823356912
Giannis Antetokounmpo,203507,1.0,0.36355074170002355,0.03963623884694578,0.9256875845390827,0.8431218190472703,0.5192713098126567,-0.6693065481939346,77.5528106576932
Karl-Anthony Towns,1626157,0.5897706202476678,0.538838653448088,0.46014607812003816,0.7400861006277382,0.9168177274806445,0.27053389035095793,-0.5442845651979623,76.26830606681439
Damian Lillard,203081,0.28103191980140746,0.808205386357916,0.7588041085840058,0.760811462121544,0.33535559121687736,0.6101449891577023,-0.585380962213504,76.19295902540333
Jayson Tatum,1628369,0.2718061784068055,0.5665521683125805,0.7884856070087609,0.8274160998579865,0.6278126460572878,0.5115326031769059,-0.6256604438182459,76.16658672670714
Luka Dončić,1629029,0.19635707253035772,0.6347047113470471,0.7768375241779496,0.8434792653344115,0.5997059127025075,0.6787355677614617,-0.7811649428415895,75.67155250841449
Domantas Sabonis,1627734,0.7760162067233634,0.3274244004171012,0.20567375886524822,0.5794155019059721,1.0,0.5192492122208522,-0.6087824351297405,71.83085631215171
Stephen Curry,201939,0.2632837491193829,0.5380604796663192,1.0,0.7439946753796818,0.31555051078320095,0.523359364296479,-0.5988023952095809,71.48311497052737
Anthony Davis,203076,0.5793162030155025,0.5867370709737538,0.14735174287007693,0.7552515612749737,0.8246431762745429,0.2993415011674581,-0.4325391769652185,70.83270220046525
Jalen Brunson,1628973,0.4583159558431884,0.6528658609548882,0.5127310777816533,0.8028829129085342,0.21218436575426583,0.6395666147844192,-0.5256699715323452,70.64727976852575
Kevin Durant,201142,0.6227224463792739,0.5775841770661644,0.5765271105010294,0.8100996024101325,0.4313646516055802,0.36613499860785176,-0.6422638593780181,70.37248755214253
Devin Booker,1626164,0.29962685435184905,0.7397288842544317,0.5680851063829787,0.7785078961699039,0.2901248581157775,0.6128236744759556,-0.6047904191616766,68.88243118929036
Anthony Edwards,1630162,0.20795503800649873,0.6163383661633838,0.8936170212765957,0.8317348697150616,0.412404957007137,0.3984595375234363,-0.6775490115659093,68.85301934491225
Tyrese Haliburton,1630169,0.4028493622974779,0.34242164018892224,0.6702127659574468,0.5677554376261306,0.2513353809174067,0.7895118589976065,-0.35135611130679817,68.59047472391899
LeBron James,2544,0.5493629220641325,0.3889142335766424,0.47822473404255317,0.7442820838627701,0.5810158910329172,0.7242216399506782,-0.7990269461077845,68.44327707691956
Victor Wembanyama,1641705,0.3926412881900524,0.42113614725483983,0.6896392229417206,0.7398486271476714,0.7866061293984109,0.31523079397415965,-0.6788596719604271,68.42397789460529
Tyler Herro,1629639,0.3671562728581204,0.46532846715328474,0.7415780141843972,0.723422278695468,0.3684733257661748,0.480716536511851,-0.5355954757152361,67.0083227621138
Kyrie Irving,202681,0.3767135272881716,0.5261313868613139,0.6434042553191489,0.7526302414231258,0.34324631101021563,0.39876695437731197,-0.46526946107784434,66.09840759033571
Tyrese Maxey,1630178,0.17688387212702364,0.6117349803481192,0.6916939443535188,0.8028540709608054,0.23928228411769842,0.5261785070662999,-0.4997696913864579,65.4115290765711
Donovan Mitchell,1628378,0.2335852497720256,0.49699441820523843,0.7326345431789737,0.7305478735331491,0.32284502904453494,0.4264887212591572,-0.4314899612539626,64.45552585831356
Joel Embiid,203954,0.27496730784276474,0.9504417979254706,0.27043673012318026,0.7254731492008294,0.5833681820897305,0.386137971315465,-0.683895367160416,64.33552269920109
Nikola Vučević,202696,0.6121544476784131,0.22455989695148137,0.40081351689612016,0.5646161895507886,0.7161480937437404,0.29701893087691306,-0.3359457555477281,63.628134165494586
Trae Young,1629027,0.09276582835300189,0.7922836287799792,0.6287234042553191,0.7358141223452533,0.22576617480136207,1.0,-1.0,63.52516976753101
James Harden,201935,0.09728416035487614,0.7810218978102191,0.6733156028368794,0.686573485811097,0.41217366628830876,0.7384573229209481,-0.919827012641384,63.36210569706772
Kristaps Porziņģis,204001,0.45852404833080146,0.44581695676586197,0.5212765957446809,0.5927084351480794,0.496900375447481,0.1792658636061842,-0.2740672501151543,62.115545043735096
Austin Reaves,1630559,0.3440918152917722,0.5643316265388386,0.5768497935852652,0.608090424624021,0.32232707066257815,0.5062848519425069,-0.5067476986325855,61.982170435014325
Cade Cunningham,1630595,0.3060561014691404,0.5481088254810883,0.47727272727272724,0.784567402102345,0.4388092044164689,0.7964353771998655,-0.9367628379604428,61.96315194113523
Trey Murphy III,1630530,0.3231451616134499,0.4996556948078777,0.6659975913287836,0.6467358730310949,0.36159595656736554,0.3061675546146151,-0.40729861032651676,61.48870386132207
Jamal Murray,1627750,0.4020373425682407,0.4303200449185851,0.5292962356792144,0.6591731013586161,0.2739369597485375,0.5218628473868918,-0.4288346384154767,61.27807859048106
Zach LaVine,203897,0.5435903937521986,0.38980281076369977,0.6868847253096221,0.6973012953023954,0.3137886052145628,0.36328836704271494,-0.6099740816873715,61.19827214107897
Jimmy Butler III,202710,0.49263821051886447,0.666058394160584,0.12101063829787233,0.5266836086404066,0.4052213393870602,0.4711261816687217,-0.30127245508982037,61.11573461284715
Pascal Siakam,1627783,0.5765406094138309,0.3140658907082265,0.3652961472110408,0.6210378103643669,0.49380311071571004,0.29393141600293266,-0.30021039003074934,60.67942840792332
LaMelo Ball,1630163,0.0,0.49728218667494967,0.8508374830239928,0.7682283922247155,0.3529837950105055,0.6354120208830706,-0.7446808510638299,60.566470654764295
Evan Mobley,1630596,0.7017226844791085,0.3132050431320505,0.2572533849129594,0.5660159408571099,0.663089464451553,0.26678623472704854,-0.42551261114135364,60.117292823920565
Paolo Banchero,1631094,0.27269503721226546,0.5625530470208793,0.4156358238495794,0.7872107798232914,0.5205237177625848,0.4034639979353655,-0.6238685419857959,60.00575392644255
Cameron Johnson,1629661,0.42261440392231386,0.4663849404533231,0.6231802911534154,0.5724603758443122,0.30987514188422244,0.29376771151058906,-0.36400882445635047,59.64801526924883
Norman Powell,1626181,0.46398936630408255,0.43552311435523117,0.6991725768321513,0.6889735987575886,0.23571698827090426,0.18861031191487418,-0.3881126635617654,59.637730858318086
Franz Wagner,1630532,0.3183929243367497,0.5655013446023819,0.3801791713325868,0.7367083528388952,0.4052213393870602,0.4103662361823177,-0.4926988129005148,59.63252800140692
DeMar DeRozan,201942,0.4304620331887268,0.5952033368091763,0.24893617021276596,0.674387366128154,0.2778660612939841,0.376078914919852,-0.2904191616766467,59.34623499158016
Darius Garland,1629636,0.38979704517185937,0.40750782064650676,0.6351063829787235,0.6295153385369395,0.20533484676503974,0.5770653514180025,-0.5329341317365269,59.31743930136343
Ivica Zubac,1627826,0.8538962115680553,0.1735826417358264,0.0,0.5017145045342989,0.8992583148041609,0.2199212877725791,-0.3416454761709458,59.197716713181194
Zion Williamson,1629627,0.7834812769873292,0.38686131386861317,0.022340425531914895,0.7491740787801779,0.5148694665153235,0.45745992601726265,-0.6287425149700598,58.65151639526817
Michael Porter Jr.,1629008,0.5149843090063945,0.23357664233576644,0.5647163120567376,0.5561202880135536,0.49758796821793416,0.18821071379641047,-0.2765302727877578,58.47757177354187
De'Aaron Fox,1628368,0.3332767041834784,0.49917588886272674,0.4251887439945093,0.7176292167069722,0.3437076635787778,0.5457221272025774,-0.5881784817461851,58.42254763290862
Cam Thomas,1630560,0.22572265873858569,0.6627737226277374,0.6076595744680852,0.7306734434561627,0.23741203178206582,0.324537607891492,-0.5197604790419161,58.22998982094706
Josh Hart,1628404,0.5803036738160968,0.2572992700729927,0.23891843971631205,0.419737399407031,0.686293984108967,0.5046924236196739,-0.4191616766467066,58.20599367124636
Mark Williams,1631109,0.7845126353790615,0.35401459854014605,0.0,0.468869123252859,0.7276106696935302,0.22009864364981505,-0.2986526946107785,57.90751831614676
Desmond Bane,1630217,0.44107029093225736,0.34785583941605847,0.5131316489361702,0.5722681067344346,0.43017522701475597,0.46797934648582,-0.5239520958083832,57.70414841185679
Miles Bridges,1628970,0.2203595951015787,0.4437956204379563,0.5026595744680851,0.6292249047013977,0.554199772985244,0.34093711467324295,-0.4471057884231537,57.58975347180234
Jarrett Allen,1628386,0.9105446308487294,0.2633576642335767,0.0,0.42083862770012714,0.7141430192962542,0.1657213316892725,-0.2431137724550898,57.26693016183745
Jalen Williams,1631114,0.42173232108727965,0.3786496350364964,0.40492021276595747,0.6475540025412961,0.3843643586833144,0.45179562268803947,-0.4682821856287425,56.99085877375356
