SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,203994,0022500098,"OCT 24, 2025",UTA @ SAC,L,18,2,7,0.286,0,1,0.0,0,0,,2,9,11,2,1,0,1,1,4,-8,1
22025,204060,0022500019,"OCT 24, 2025",MIN @ LAL,L,4,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,5,1
22025,1626145,0022500090,"OCT 24, 2025",ORL vs. ATL,L,20,2,4,0.5,0,2,0.0,0,0,,0,1,1,2,0,1,1,1,4,-9,1
22025,1626156,0022500096,"OCT 24, 2025",DAL vs. WAS,L,8,0,3,0.0,0,1,0.0,1,2,0.5,0,2,2,3,0,0,0,0,1,2,1
22025,1626157,0022500018,"OCT 24, 2025",NYK vs. BOS,W,33,6,16,0.375,4,6,0.667,10,12,0.833,6,7,13,3,1,1,5,2,26,6,1
22025,1626164,0022500099,"OCT 24, 2025",PHX @ LAC,L,28,5,10,0.5,1,4,0.25,7,7,1.0,0,3,3,7,0,0,3,2,18,-22,1
22025,1626167,0022500092,"OCT 24, 2025",MIL @ TOR,W,28,2,8,0.25,0,3,0.0,0,0,,0,5,5,2,1,2,3,4,4,12,1
22025,1626171,0022500092,"OCT 24, 2025",MIL @ TOR,W,21,5,13,0.385,1,5,0.2,0,0,,3,5,8,0,0,0,1,3,11,-5,1
22025,1626181,0022500094,"OCT 24, 2025",MIA @ MEM,W,25,5,10,0.5,2,4,0.5,3,4,0.75,0,6,6,2,2,0,2,2,15,7,1
22025,1626204,0022500091,"OCT 24, 2025",CLE @ BKN,W,16,4,8,0.5,0,1,0.0,1,3,0.333,1,2,3,1,1,0,0,0,9,-5,1
22025,1626220,0022500099,"OCT 24, 2025",PHX @ LAC,L,28,4,11,0.364,3,10,0.3,0,0,,1,3,4,1,2,1,2,3,11,-22,1
22025,1627734,0022500098,"OCT 24, 2025",SAC vs. UTA,W,37,6,9,0.667,0,1,0.0,0,1,0.0,3,9,12,1,0,0,2,3,12,-15,1
22025,1627739,0022500099,"OCT 24, 2025",LAC vs. PHX,W,21,5,8,0.625,2,4,0.5,2,2,1.0,1,1,2,1,3,0,0,1,14,18,1
22025,1627741,0022500097,"OCT 24, 2025",GSW @ POR,L,12,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,3,0,0,1,1,2,5,1
22025,1627742,0022500092,"OCT 24, 2025",TOR vs. MIL,L,37,10,20,0.5,3,7,0.429,6,7,0.857,1,5,6,3,0,1,4,1,29,-9,1
22025,1627751,0022500092,"OCT 24, 2025",TOR vs. MIL,L,27,3,5,0.6,0,0,,0,2,0.0,2,3,5,2,0,0,1,5,6,-1,1
22025,1627752,0022500092,"OCT 24, 2025",MIL @ TOR,W,21,1,4,0.25,1,3,0.333,0,0,,0,3,3,3,1,0,1,1,3,0,1
22025,1627759,0022500018,"OCT 24, 2025",BOS @ NYK,L,35,9,18,0.5,3,7,0.429,2,4,0.5,0,4,4,3,1,1,7,5,23,-14,1
22025,1627780,0022500097,"OCT 24, 2025",GSW @ POR,L,7,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1,1
22025,1627824,0022500018,"OCT 24, 2025",NYK vs. BOS,W,13,1,2,0.5,1,2,0.5,0,0,,3,2,5,1,0,0,0,0,3,4,1
22025,1627826,0022500099,"OCT 24, 2025",LAC vs. PHX,W,25,3,5,0.6,0,0,,2,3,0.667,0,5,5,4,0,0,3,2,8,15,1
22025,1627884,0022500099,"OCT 24, 2025",LAC vs. PHX,W,23,6,6,1.0,5,5,1.0,0,0,,1,3,4,2,1,1,0,2,17,12,1
22025,1628366,0022500091,"OCT 24, 2025",CLE @ BKN,W,22,0,4,0.0,0,2,0.0,2,2,1.0,0,2,2,8,2,0,2,0,2,0,1
22025,1628370,0022500098,"OCT 24, 2025",SAC vs. UTA,W,21,7,14,0.5,6,9,0.667,0,0,,0,1,1,3,2,2,1,2,20,10,1
22025,1628371,0022500090,"OCT 24, 2025",ORL vs. ATL,L,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1
22025,1628374,0022500098,"OCT 24, 2025",UTA @ SAC,L,36,12,23,0.522,4,13,0.308,5,6,0.833,1,3,4,1,0,0,1,1,33,4,1
22025,1628378,0022500091,"OCT 24, 2025",CLE @ BKN,W,35,10,15,0.667,6,10,0.6,9,12,0.75,0,2,2,5,3,0,3,3,35,22,1
22025,1628379,0022500090,"OCT 24, 2025",ATL @ ORL,W,23,3,5,0.6,0,0,,0,0,,2,1,3,2,1,0,2,3,6,11,1
22025,1628381,0022500099,"OCT 24, 2025",LAC vs. PHX,W,24,3,5,0.6,0,1,0.0,4,5,0.8,2,4,6,2,2,0,2,3,10,23,1
22025,1628384,0022500018,"OCT 24, 2025",NYK vs. BOS,W,29,3,10,0.3,2,7,0.286,2,2,1.0,1,1,2,1,2,0,1,3,10,10,1
22025,1628386,0022500091,"OCT 24, 2025",CLE @ BKN,W,30,8,11,0.727,0,1,0.0,6,9,0.667,2,5,7,4,2,1,2,2,22,24,1
22025,1628389,0022500094,"OCT 24, 2025",MIA @ MEM,W,28,8,19,0.421,4,8,0.5,4,4,1.0,1,4,5,4,1,0,1,2,24,25,1
22025,1628398,0022500092,"OCT 24, 2025",MIL @ TOR,W,18,4,5,0.8,0,1,0.0,0,0,,0,3,3,0,1,1,1,3,8,-5,1
22025,1628401,0022500018,"OCT 24, 2025",BOS @ NYK,L,33,5,18,0.278,3,11,0.273,2,3,0.667,1,3,4,4,1,0,1,3,15,0,1
22025,1628404,0022500018,"OCT 24, 2025",NYK vs. BOS,W,19,1,8,0.125,0,3,0.0,0,0,,6,8,14,3,0,0,0,3,2,-2,1
22025,1628415,0022500099,"OCT 24, 2025",PHX @ LAC,L,27,7,17,0.412,5,10,0.5,2,2,1.0,3,0,3,2,2,0,4,5,21,-15,1
22025,1628436,0022500095,"OCT 24, 2025",SAS @ NOP,W,35,6,9,0.667,0,0,,2,4,0.5,9,3,12,4,0,1,0,1,14,11,1
22025,1628449,0022500018,"OCT 24, 2025",BOS @ NYK,L,15,0,3,0.0,0,2,0.0,0,0,,1,3,4,0,1,4,0,2,0,5,1
22025,1628502,0022500099,"OCT 24, 2025",PHX @ LAC,L,21,3,4,0.75,1,2,0.5,0,0,,1,1,2,0,3,0,0,0,7,-12,1
22025,1628960,0022500099,"OCT 24, 2025",PHX @ LAC,L,29,4,12,0.333,3,9,0.333,1,1,1.0,1,0,1,5,1,1,0,2,12,-11,1
22025,1628963,0022500096,"OCT 24, 2025",WAS @ DAL,W,15,4,6,0.667,1,2,0.5,1,2,0.5,2,2,4,1,0,0,0,4,10,-6,1
22025,1628969,0022500018,"OCT 24, 2025",NYK vs. BOS,W,36,5,10,0.5,2,4,0.5,0,0,,2,4,6,2,2,1,2,2,12,15,1
22025,1628973,0022500018,"OCT 24, 2025",NYK vs. BOS,W,35,10,20,0.5,3,7,0.429,8,9,0.889,0,3,3,5,0,0,1,1,31,7,1
22025,1628976,0022500090,"OCT 24, 2025",ORL vs. ATL,L,31,2,4,0.5,0,1,0.0,6,11,0.545,3,5,8,2,2,0,2,4,10,-10,1
22025,1628978,0022500019,"OCT 24, 2025",MIN @ LAL,L,28,4,8,0.5,3,7,0.429,2,3,0.667,0,0,0,4,2,0,0,2,13,-6,1
22025,1628991,0022500094,"OCT 24, 2025",MEM vs. MIA,L,21,7,14,0.5,1,4,0.25,4,4,1.0,0,3,3,1,1,1,3,4,19,-18,1
22025,1629004,0022500098,"OCT 24, 2025",UTA @ SAC,L,24,3,7,0.429,2,5,0.4,1,1,1.0,2,2,4,0,0,0,2,1,9,14,1
