index,SEASON_ID,Player_ID,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PERSON_ID,Name,TEAM_ID,FGPM,FG%,FTPM,FT%,FG%_RT,FT%_RT,PTS_RT,FG3M_RT,REB_RT,BLK_RT,AST_RT,TOV_RT
0,22024.0,2544.0,35.109375,9.34375,18.3125,2.140625,5.71875,3.578125,4.640625,1.046875,7.078125,8.125,8.390625,0.984375,0.59375,3.8125,1.4375,24.40625,-1.046875,2544,LeBron James,1610612747,0.375,4.438829787234042,2.515625,2.9600694444444446,0.5493629220641325,0.3889142335766424,0.7442820838627701,0.47822473404255317,0.5810158910329172,0.1551846590909091,0.7242216399506782,-0.7990269461077845
1,22024.0,101108.0,27.973333333333333,2.96,6.933333333333334,1.7333333333333334,4.533333333333333,1.0533333333333332,1.12,0.4,3.2,3.6,7.546666666666667,1.28,0.22666666666666666,1.5333333333333334,1.7866666666666666,8.706666666666667,0.13333333333333333,101108,Chris Paul,1610612759,-1.0133333333333336,3.050496453900708,0.9866666666666664,1.4311111111111108,0.3775386140015572,0.18802919708029195,0.26551461245235075,0.3872340425531915,0.25743473325766175,0.059242424242424235,0.651376900945335,-0.32135728542914177
2,22024.0,200768.0,18.852941176470587,1.1470588235294117,3.2941176470588234,0.8235294117647058,2.4705882352941178,0.7941176470588235,0.9705882352941176,0.3235294117647059,1.6176470588235294,1.9411764705882353,2.7941176470588234,0.9705882352941176,0.3235294117647059,0.6176470588235294,1.7941176470588236,3.911764705882353,-1.911764705882353,200768,Kyle Lowry,1610612755,-1.0,3.0638297872340416,0.6176470588235293,1.0620915032679739,0.3791887874283287,0.1395448690425075,0.11929142686299425,0.18397997496871088,0.13881284636442545,0.08455882352941177,0.24116921737869007,-0.12944698837618882
3,22024.0,200782.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,200782,P.J. Tucker,1610612752,0.0,4.063829787234042,0.0,0.4444444444444445,0.502951794436186,0.05839416058394161,0.0,0.0,0.0,0.0,0.0,-0.0
4,22024.0,201142.0,36.58064516129032,9.548387096774194,18.129032258064516,2.5806451612903225,6.0,4.887096774193548,5.82258064516129,0.3709677419354839,5.661290322580645,6.032258064516129,4.241935483870968,0.8064516129032258,1.2419354838709677,3.064516129032258,1.6774193548387097,26.56451612903226,-0.6129032258064516,201142,Kevin Durant,1610612756,0.9677419354838719,5.0315717227179135,3.951612903225806,4.396057347670251,0.6227224463792739,0.5775841770661644,0.8100996024101325,0.5765271105010294,0.4313646516055802,0.3245967741935484,0.36613499860785176,-0.6422638593780181
5,22024.0,201143.0,27.70175438596491,3.210526315789474,7.614035087719298,1.8771929824561404,5.2105263157894735,0.5964912280701754,0.6666666666666666,1.3333333333333333,4.719298245614035,6.052631578947368,2.1403508771929824,0.6140350877192983,0.8596491228070176,0.7543859649122807,1.3859649122807018,8.894736842105264,6.508771929824562,201143,Al Horford,1610612738,-1.1929824561403497,2.870847331093692,0.5263157894736842,0.9707602339181287,0.3553046983566371,0.12754514022281985,0.2712499164047349,0.41937290033594626,0.43282155445367104,0.22468102073365231,0.18474051960975188,-0.15810484294568758
6,22024.0,201144.0,24.96923076923077,2.723076923076923,6.661538461538462,1.876923076923077,4.446153846153846,1.1846153846153846,1.323076923076923,0.46153846153846156,2.076923076923077,2.5384615384615383,4.476923076923077,1.1846153846153846,0.2,1.0615384615384615,1.5692307692307692,8.507692307692308,3.3230769230769233,201144,Mike Conley,1610612750,-1.2153846153846155,2.848445171849426,1.0461538461538462,1.4905982905982906,0.35253213976509784,0.19584503088152724,0.2594467793959535,0.41931260229132566,0.18152449139963328,0.052272727272727276,0.38641752821777486,-0.2224781206817135
7,22024.0,201145.0,12.035714285714286,1.7857142857142858,3.4642857142857144,0.7857142857142857,2.142857142857143,0.6071428571428571,0.7142857142857143,0.35714285714285715,1.3571428571428572,1.7142857142857142,0.4642857142857143,0.17857142857142858,0.14285714285714285,0.2857142857142857,0.9642857142857143,4.964285714285714,-0.7142857142857143,201145,Jeff Green,1610612745,0.1071428571428572,4.170972644376899,0.4999999999999999,0.9444444444444444,0.5162121166155993,0.12408759124087591,0.15138863677618444,0.17553191489361702,0.12258796821793416,0.037337662337662336,0.040073982737361284,-0.059880239520958084
8,22024.0,201566.0,28.159420289855074,4.971014492753623,10.985507246376812,1.2753623188405796,3.8550724637681157,1.9275362318840579,3.028985507246377,1.4202898550724639,3.550724637681159,4.971014492753623,6.246376811594203,1.434782608695652,0.5217391304347826,3.289855072463768,2.608695652173913,13.144927536231885,-0.2463768115942029,201566,Russell Westbrook,1610612743,-1.0434782608695663,3.0203515263644753,0.8260869565217388,1.2705314009661832,0.3738077871236391,0.1669311329736591,0.4008618308380753,0.2849213691026827,0.35547549721166655,0.13636363636363635,0.5391447309637414,-0.6894905840492928
9,22024.0,201567.0,10.91304347826087,1.7826086956521738,5.0,1.0434782608695652,2.9130434782608696,0.6956521739130435,1.0,0.9565217391304348,3.130434782608696,4.086956521739131,0.9565217391304348,0.6521739130434783,0.17391304347826086,0.6086956521739131,0.9130434782608695,5.304347826086956,-1.0869565217391304,201567,Kevin Love,1610612748,-1.4347826086956523,2.6290471785383893,0.3913043478260869,0.8357487922705313,0.3253787843814342,0.10980641066328149,0.1617590188387382,0.23311748381128583,0.2922568227804373,0.04545454545454545,0.08256044604085135,-0.12757094506638897
