Player_ID,Name,Played_Games,Missed_Games
1630241,Sam Merrill,66,90
203995,Vasilije Micić,40,81
203114,Khris Middleton,37,119
1641706,Brandon Miller,27,100
1641801,Emanuel Miller,2,156
1641757,Jordan Miller,34,154
1631159,Leonard Miller,11,89
201988,Patty Mills,27,161
1629003,Shake Milton,53,141
1631303,Justin Minaya,13,78
1642434,Riley Minix,1,117
1631169,Josh Minott,43,57
1642274,Yves Missi,69,37
1642349,Ajay Mitchell,34,41
1630558,Davion Mitchell,67,96
1628378,Donovan Mitchell,68,88
1630596,Evan Mobley,66,90
1642367,Jonathan Mogbo,57,52
1628370,Malik Monk,61,141
1630541,Moses Moody,67,33
1631386,Tazé Moore,2,351
1631111,Wendell Moore Jr.,33,94
1629630,Ja Morant,46,48
202693,Markieff Morris,14,180
1628420,Monté Morris,43,78
1630530,Trey Murphy III,53,53
1627749,Dejounte Murray,31,75
1627750,Jamal Murray,65,11
1631099,Keegan Murray,72,130
1631200,Kris Murray,63,28
1629004,Svi Mykhailiuk,32,94
1631250,Pete Nance,10,181
1626204,Larry Nance Jr.,24,151
1629614,Andrew Nembhard,59,26
1630174,Aaron Nesmith,39,46
1641803,Tristen Newton,8,92
1627777,Georges Niang,73,102
1630227,Daishen Nix,3,350
1630192,Zeke Nnaji,54,22
1641936,Miles Norris,1,82
1629669,Jaylen Nowell,8,345
203994,Jusuf Nurkić,45,82
1626220,Royce O'Neale,69,52
1626143,Jahlil Okafor,1,352
1629643,Chuma Okeke,7,346
1629006,Josh Okogie,34,93
1630168,Onyeka Okongwu,68,107
1630171,Isaac Okoro,49,107
1642439,Quincy Olivari,2,351
203482,Kelly Olynyk,41,65
1626162,Kelly Oubre Jr.,60,95
101108,Chris Paul,75,43
1626166,Cameron Payne,66,46
203901,Elfrid Payton,17,336
1627780,Gary Payton II,58,42
1641809,Drew Peterson,20,63
1641763,Julian Phillips,73,85
1629618,Jalen Pickett,43,33
1630590,Scotty Pippen Jr.,74,20
1631342,Daeqwon Plowden,3,172
203486,Mason Plumlee,70,51
1641764,Brandin Podziemski,57,43
1627751,Jakob Poeltl,56,53
1629673,Jordan Poole,65,91
1641854,Craig Porter Jr.,46,110
1629645,Kevin Porter Jr.,69,122
1629008,Michael Porter Jr.,72,4
1626171,Bobby Portis,46,145
204001,Kristaps Porziņģis,39,44
1642366,Quinten Post,37,63
1630695,Micah Potter,33,93
203939,Dwight Powell,50,127
1626181,Norman Powell,54,134
1627752,Taurean Prince,74,117
1630202,Payton Pritchard,73,10
1641765,Olivier-Maxence Prosper,52,125
1642389,Zyon Pullin,3,91
1630243,Trevelin Queen,29,48
1629674,Neemias Queta,56,27
1630193,Immanuel Quickley,31,78
1631311,Lester Quinones,6,100
203944,Julius Randle,63,37
1641871,Duop Reath,44,47
1630559,Austin Reaves,67,127
1629629,Cam Reddish,33,320
1630194,Paul Reed,40,100
1642024,Alex Reese,13,142
1641810,Antonio Reeves,37,69
1629675,Naz Reid,74,26
1631197,Jared Rhoden,11,98
1630208,Nick Richards,54,67
1626196,Josh Richardson,8,345
1642258,Zaccharie Risacher,68,107
1641857,Liam Robbins,13,340
1629130,Duncan Robinson,68,95
1629011,Mitchell Robinson,14,98
1631115,Orlando Robinson,40,69
1630526,Jeremiah Robinson-Earl,59,47
1631223,David Roddy,30,76
1631157,Ryan Rollins,50,141
1642050,Jackson Rowe,5,95
1626179,Terry Rozier,61,102
1641712,Rayan Rupert,46,45
1626156,D'Angelo Russell,57,56
1630346,Matt Ryan,19,334
1627734,Domantas Sabonis,63,139
1642275,Tidjane Salaün,53,74
1641766,Adama Sanogo,4,349
1630611,Gui Santos,50,50
1642259,Alex Sarr,60,96
1631204,Marcus Sasser,53,87
1631248,Baylor Scheierman,25,58
203471,Dennis Schröder,69,71
1630578,Alperen Sengun,72,34
1641729,Brice Sensabaugh,65,61
1629012,Collin Sexton,59,67
1629013,Landry Shamet,43,69
1630545,Terrence Shannon Jr.,31,69
1630549,Day'Ron Sharpe,50,63
1631101,Shaedon Sharpe,68,23
1642347,Jamal Shead,70,39
1641767,Ben Sheppard,61,24
1642263,Reed Sheppard,46,60
1627783,Pascal Siakam,74,11
1627732,Ben Simmons,46,142
1629014,Anfernee Simons,70,21
1642354,KJ Simpson,29,98
1630579,Jericho Sims,53,138
203935,Marcus Smart,33,123
1630696,Dru Smith,14,149
1630188,Jalen Smith,61,97
1642449,Tolu Smith,0,140
1641890,Tyler Smith,21,170
1631095,Jabari Smith Jr.,54,52
1641733,Nick Smith Jr.,56,71
1631110,Jeremy Sochan,54,64
1642285,Cam Spencer,21,73
1630311,Pat Spencer,35,65
1630531,Jaden Springer,37,89
1641815,Isaiah Stevens,2,161
1630205,Lamar Stevens,12,82
1630191,Isaiah Stewart,69,71
1631124,Julian Strawther,61,15
1629622,Max Strus,45,111
1630591,Jalen Suggs,35,42
1631306,Cole Swider,6,103
1630256,Jae'Sean Tate,48,58
1628369,Jayson Tatum,68,15
1630678,Terry Taylor,3,350
202066,Garrett Temple,25,84
1631207,Dalen Terry,68,90
1628464,Daniel Theis,38,315
1630560,Cam Thomas,25,88
1641708,Amen Thompson,65,41
1641709,Ausar Thompson,53,87
1630679,Ethan Thompson,0,77
202691,Klay Thompson,67,110
202684,Tristan Thompson,38,118
1630550,JT Thor,15,141
1629680,Matisse Thybulle,9,82
1630214,Xavier Tillman,30,53
1631166,Drew Timme,3,110
1641772,Nae'Qwan Tomlin,3,153
1642260,Nikola Topić,0,75
1631210,Jacob Toppin,16,159
1630167,Obi Toppin,72,13
1626157,Karl-Anthony Towns,67,45
1642422,Armel Traoré,9,344
1631247,Luke Travers,9,147
1629018,Gary Trent Jr.,68,123
1631131,Oscar Tshiebwe,11,115
200782,P.J. Tucker,1,111
1626167,Myles Turner,66,19
1641816,Hunter Tyson,48,28
1642281,Jaylon Tyson,42,114
1630649,Stanley Umude,20,171
202685,Jonas Valančiūnas,74,128
1627832,Fred VanVleet,57,49
1629020,Jarred Vanderbilt,30,164
1630170,Devin Vassell,60,58
1629216,Gabe Vincent,66,128
1641774,Tristan Vukcevic,30,126
202696,Nikola Vučević,68,90
1629731,Dean Wade,55,101
1630532,Franz Wagner,57,20
1629021,Moritz Wagner,30,47
1631133,Jabari Walker,54,37
1641716,Jarace Walker,68,17
1629022,Lonnie Walker IV,14,141
1641717,Cason Wallace,64,11
1630811,Keaton Wallace,28,147
1641775,Jordan Walsh,46,37
1642266,Ja'Kobe Walter,49,60
1642276,Kel'el Ware,57,106
1629023,P.J. Washington,53,124
1631102,TyTy Washington Jr.,13,108
1630322,Lindy Waters III,49,91
1630570,Trendon Watford,38,75
1641817,Anton Watson,7,105
1631212,Peyton Watson,63,13
1642377,Jaylen Wells,76,18
1641705,Victor Wembanyama,46,72
1631104,Blake Wesley,51,67
201566,Russell Westbrook,69,7
1630762,Phillip Wheeler,4,151
1629632,Coby White,69,89
1628401,Derrick White,71,12
1641727,Dariq Whitehead,14,99
1641715,Cam Whitmore,45,61
1630598,Aaron Wiggins,70,5
203952,Andrew Wiggins,58,105
1631214,Alondes Williams,1,352
1630314,Brandon Williams,31,146
1642262,Cody Williams,50,76
1629684,Grant Williams,16,111
1631114,Jalen Williams,64,11
1631119,Jaylin Williams,44,31
1629026,Kenrich Williams,62,13
1631109,Mark Williams,40,87
1631466,Nate Williams,14,92
1630172,Patrick Williams,57,101
1630533,Ziaire Williams,60,53
1629057,Robert Williams III,20,71
1631246,Vince Williams Jr.,23,71
1629627,Zion Williamson,30,76
1630592,Jalen Wilson,75,38
1630164,James Wiseman,1,352
1631209,Isaiah Wong,20,333
1626153,Delon Wright,36,76
1627824,Guerschon Yabusele,68,87
1642385,Cui Yongxi,5,348
1642443,Jahmir Young,2,156
1629027,Trae Young,70,105
1627826,Ivica Zubac,73,115
1641783,Tristan da Silva,71,6
1628427,Vlatko Čančar,11,65
203967,Dario Šarić,15,61
